,target_reg
0,68.76967303430214
1,30.67937896330674
2,52.07859509565811
3,38.8832413403064
4,39.37231855368239
5,30.96215768019496
6,35.19144365462252
7,39.34322129256018
8,48.42276481204951
9,40.850147414630136
10,40.032271948371076
11,44.598300572319836
12,77.27432244923213
13,33.32746984543023
14,27.32985869185591
15,34.99176478916925
16,44.17497628920091
17,42.50008955811242
18,54.8216139888637
19,25.66466081831715
20,47.71261350424342
21,43.54366372264213
22,47.834258720048936
23,49.31798319709486
24,32.84851040142973
25,57.77893401049936
26,33.89300133966381
27,51.68072336023422
28,29.87036198078924
29,41.54968900149253
30,33.79413660244563
31,38.77466640900427
32,54.81451347080434
33,72.81414911561356
34,35.25697470990581
35,31.705007539185328
36,24.216118518181744
37,57.87136436495831
38,28.449200714133116
39,35.041638725623955
40,98.00460409956602
41,45.82281031129637
42,71.57211105507841
43,50.9608507778576
44,49.87665503378628
45,34.351510931995975
46,42.96079375394573
47,40.27291080261287
48,36.523772597878505
49,48.519268264868835
50,48.90956610535465
51,45.33603636623934
52,49.86592160170872
53,29.079387084908532
54,36.688435404194806
55,84.70126958433386
56,44.62327236218214
57,32.62681611397601
58,48.78312033985322
59,32.52863470975599
60,33.44030429893019
61,29.335841636768308
62,45.177473355775824
63,57.08652052924969
64,81.98160253609953
65,31.982514795140006
66,65.72459121898386
67,36.39320454566431
68,51.26096216034729
69,47.62315719441606
70,43.09150722730886
71,30.512070520038556
72,48.29105625535718
73,48.58549185928951
74,28.943801008408258
75,33.2119175171062
76,84.64487131984684
77,74.8035454097109
78,33.10082829586838
79,30.87618249484832
80,56.25895694747915
81,42.22390301072365
82,31.268839388120753
83,55.82868985228176
84,52.09082329602191
85,44.376858724522215
86,95.34037899772514
87,48.46195300904739
88,89.55668016082342
89,28.38787614593523
90,29.512514375719824
91,29.14312717774974
92,49.07384871848718
93,45.01657498836166
94,53.68508846230594
95,45.07445909383976
96,43.700614402768565
97,29.536836508965806
98,69.55770479146015
99,42.201312853746046
100,43.90415607665063
101,50.81544816563341
102,52.764465013522376
103,40.428739828288776
104,46.47036645928716
105,72.27889849037413
106,32.26153116792125
107,31.011236809860968
108,27.384091857052514
109,48.37706239604748
110,27.325004006695146
111,37.51739223949191
112,31.92152927155572
113,43.64079807620097
114,70.48202992812156
115,43.566924691947804
116,32.151898538568304
117,45.559898071510084
118,69.1239787460836
119,45.93636442068115
120,48.48801063409453
121,30.27091253217656
122,26.96882034778273
123,45.61714142333849
124,29.81689052494839
125,47.486614740492456
126,43.58171668921082
127,98.94081056435765
128,73.02834840497155
129,46.530569797806365
130,32.04344232301757
131,75.52676679312074
132,63.86668234927934
133,71.30100898349096
134,39.55680106544868
135,27.7301872167317
136,30.582916124226195
137,48.225346776157274
138,32.89495106507319
139,71.85594523823397
140,29.80223502033758
141,35.102062576732514
142,35.51729748996249
143,36.87133732300804
144,30.687015060065917
145,56.137241354902635
146,41.894315829004434
147,36.68743512246369
148,41.521239696844354
149,42.29240420077191
150,50.23778699491549
151,45.02330013329919
152,35.952901690249526
153,35.66848004883705
154,33.28896196063087
155,42.70454711251935
156,46.71245204698354
157,26.574512950130977
158,30.6301228762848
159,28.797811779199844
160,31.756176791487757
161,56.82084502853519
162,42.7757989853514
163,33.33943474225049
164,80.71977124704736
165,55.26538634016051
166,64.90985014335878
167,50.70999835726738
168,36.238042187780586
169,37.892788232554445
170,53.39283426841239
171,41.52333634115879
172,45.84487667533389
173,42.67295542830048
174,52.004925426796454
175,62.241505895350016
176,77.9722533331211
177,38.97766340203289
178,32.45400397151464
179,31.826690191609984
180,46.78039719144409
181,35.56059366121942
182,58.17728681867422
183,58.816678696450374
184,51.818739125862905
185,29.961319169029533
186,32.359782655889354
187,50.12172659044893
188,39.58445084717357
189,33.187672481945775
190,50.20537392476606
191,42.3519101277373
192,48.84440279659191
193,34.9402583850463
194,32.70676537003661
195,45.56875902875455
196,42.198520773956254
197,34.760483961092696
198,34.10764386134697
199,55.78252122107005
200,40.187038634987516
201,70.4139317021629
202,47.9444620122535
203,70.01093800738946
204,45.047760135813235
205,36.24837806795216
206,39.42165228308041
207,49.022890013567476
208,20.536821246081747
209,41.65140325440293
210,45.845235817693435
211,45.21665732006211
212,37.14827990151736
213,41.440783909501334
214,38.431946374549774
215,46.57580865162251
216,34.064635889094795
217,44.454307056772485
218,46.29040087033367
219,23.573014262272917
220,33.59721623834515
221,73.64875652207806
222,49.29148423131673
223,53.29608021003379
224,33.43539526825839
225,30.722748811951515
226,41.79671850124673
227,51.047866842108256
228,36.634584131452044
229,51.36625087242028
230,46.85727210851296
231,43.95215731180144
232,33.698394346989446
233,39.04550777788764
234,35.74309276760543
235,28.718846085935063
236,27.544018048275436
237,41.48063054433126
238,29.081260392666277
239,92.23392733539012
240,38.57251895452543
241,50.94566876808198
242,28.81405265306004
243,48.10198831386221
244,38.28487234158517
245,45.02629028490054
246,69.91831008222692
247,43.28042880538158
248,32.705106613257186
249,33.78964370254409
250,68.48031291459283
251,39.29684947552023
252,45.86374246234376
253,31.045726060614214
254,36.68467547491163
255,34.99638414365658
256,36.2428489863736
257,43.80404404597795
258,34.05667250224063
259,44.84489653492414
260,51.37361768210777
261,34.985748331967635
262,40.277447802392764
263,38.94467588596391
264,27.85989818701445
265,41.404290870389204
266,32.0733639382793
267,49.05277987658508
268,35.433707530462
269,44.90553851156907
270,52.2073791807736
271,35.38346231792317
272,80.89950163363247
273,48.492110930281854
274,73.5172906758167
275,29.17884556096712
276,62.04009279194912
277,33.58043601130725
278,34.052204340979216
279,55.36051788950064
280,33.85123354107483
281,32.83546558517547
282,35.51733303041252
283,42.077778513188974
284,27.40688140863207
285,40.87081665652666
286,34.9986780695415
287,52.87558714937525
288,30.736380146411086
289,44.030604330713814
290,26.887758898862174
291,26.330599025833692
292,29.26766396383899
293,33.88917319530832
294,46.179608617835655
295,29.422730475373093
296,46.29917111807638
297,51.9508261646171
298,37.20755743995839
299,52.402792495499384
300,52.82472928458528
301,59.192975686409646
302,49.26958512840071
303,51.62600202298744
304,25.209062231319415
305,30.149582232089344
306,40.60091174922178
307,49.09782768130984
308,36.764565084364435
309,32.54444107361622
310,53.528684638668736
311,32.356080832031545
312,25.705109453574174
313,37.44006512517059
314,22.547005358739973
315,29.11816201158814
316,45.26081781647528
317,62.28443856026706
318,51.432911836297826
319,34.958373321643606
320,51.897569631492985
321,59.872494320877266
322,34.095143569245714
323,45.59421387466788
324,37.6999473761208
325,43.974502058900335
326,50.79382191358171
327,44.76834642457251
328,58.78906354890037
329,71.66482407265454
330,58.82089140183186
331,30.590672654147557
332,34.03327805028507
333,37.60548507445419
334,31.71543634042852
335,35.95803140416371
336,32.511263172277445
337,64.56623582010113
338,27.190347646456193
339,45.67109151570417
340,44.14043650354911
341,25.08951777370352
342,49.11344289169513
343,43.72200197197219
344,30.54634679565745
345,33.508060368008714
346,33.276277673771034
347,61.472355595584894
348,36.56701032832245
349,33.488969136794154
350,33.009417475091176
351,49.974282227522586
352,46.3015087061657
353,31.631787495072317
354,68.53393080965775
355,38.29612270133343
356,75.85557533885672
357,43.471937876876225
358,56.04829469527023
359,47.160562005780584
360,43.23226621525273
361,38.44725285993074
362,65.60176996750644
363,55.54709054403661
364,41.51728039522482
365,27.7019243984949
366,35.41595347937975
367,46.494971307789335
368,53.64790237314146
369,38.61162101857834
370,44.55287809333926
371,35.07316517079274
372,65.71679404471453
373,42.409856388383425
374,52.99426131860931
375,33.437834976619975
376,49.24789745810151
377,33.46054843761084
378,48.19830728790373
379,32.505538259262465
380,43.71211078810864
381,27.155646683277155
382,85.83526554543292
383,43.05981577900676
384,47.17849900427942
385,50.35730618262654
386,52.02792370544029
387,45.314567480627886
388,31.533179593246345
389,25.10580969221471
390,38.77376902407002
391,40.66903151988546
392,34.21296132979127
393,34.606361953435034
394,34.54779804076179
395,56.61619870748404
396,42.94113071684072
397,28.523033580280387
398,55.848725089015346
399,48.87072892396544
400,44.50188277096348
401,44.19175023172441
402,38.096041262405734
403,46.69260867957922
404,32.453925266684735
405,50.56935235897919
406,31.08102276252425
407,44.71902830586165
408,45.44671523946765
409,45.65124171364855
410,35.20879159006737
411,37.97700268587954
412,33.98545182079796
413,52.37977750616375
414,81.8324025639653
415,47.68516417245846
416,30.72808734656701
417,51.086875443110955
418,47.70953434348506
419,38.846432186135075
420,61.33363780313563
421,50.13349354325142
422,85.71159640292021
423,66.22912515754709
424,90.40075380151609
425,38.27270952186375
426,28.921394756766013
427,35.97824555577073
428,50.76059269668762
429,41.888287421696845
430,44.96300037731491
431,55.761077375979816
432,32.256294036152255
433,30.597400416831626
434,32.69141823335791
435,33.84125210389017
436,46.09867722629271
437,44.946381873256215
438,32.93183190622509
439,30.974016206029418
440,45.359497539446814
441,52.34238623200225
442,59.320835617682434
443,32.98258820480892
444,42.44993582191698
445,38.29691923631911
446,110.9048933920728
447,30.278255980930794
448,56.61147857485902
449,73.74196504816003
450,42.59729191654893
451,31.93844375778111
452,28.614006377612387
453,30.213253383340778
454,31.700670718565974
455,39.80189819253922
456,46.20240584112197
457,38.20405119586369
458,32.32594844295353
459,31.33031053818094
460,28.55223555356072
461,45.98672781330424
462,28.735087501847577
463,92.1992262931412
464,53.45247468409072
465,36.312224908095885
466,48.09803186917549
467,63.67801602033067
